Topic,Count,Name,Representation,Representative_Docs
-1,14281,-1_bbc_england_woman_year,"['bbc', 'england', 'woman', 'year', 'world', 'people', 'election', 'world cup', 'police', 'party']","['rishi sunak tax cutter the chancellor want cut tax figure show tax rise watch', 'itv host first general election leader debate rishi sunak sir keir starmer face head to-head debate host itv june', 'budget pension tax cut wrong labour leader sir keir starmer tax break aim keep doctor work apply']"
0,2671,0_ukraine_russia_russian_war,"['ukraine', 'russia', 'russian', 'war', 'ukraine war', 'ukrainian', 'putin', 'kyiv', 'invasion', 'war ukraine']","['ukraine war grim ukrainian shadow russian attack ukrainian see second heaviest aerial bombardment since russia war begin', 'why russia invade ukraine putin want week russia leader unleash war ukraine sign yet end', 'ukraine war zelensky russia control fifth ukrainian territory russian force intensify attack city severodonetsk eastern donbas region']"
1,2193,1_manchester_league_unite_city,"['manchester', 'league', 'unite', 'city', 'liverpool', 'manchester city', 'manchester unite', 'chelsea', 'premier league', 'premier']","['real madrid manchester city champion league final close pep guardiola manchester city bos pep guardiola close side concede three late goal real madrid lose aggregate champion league semi final', 'erling haaland final piece jigsaw manchester city champion league quest four game six goal premier league hat trick erling haaland man fire manchester city champion league glory', 'man city newcastle man city three clear liverpool title race manchester city thrash newcastle unite move three point clear liverpool top premier league']"
2,2124,2_murder_police_kill_shoot,"['murder', 'police', 'kill', 'shoot', 'stab', 'die', 'death', 'crash', 'boy', 'year old']","['olivia pratt korbel arrest nine year-old murder three men detain connection kill nine year-old shoot home', 'woman charge murder six year-old boy year-old woman charge murder six year-old boy', 'boy charge attempt murder year-old girl stab sittingbourne friday kent police']"
3,1234,3_queen_king_prince_charles,"['queen', 'king', 'prince', 'charles', 'king charles', 'royal', 'coronation', 'harry', 'princess', 'prince harry']","['king charles see first time since diagnosis prince harry arrive king charles travel sandringham meet son prince harry fly', 'queen elizabeth day by-day guide funeral the queen coffin lie state westminster hall king charles iii conclude trip around', 'queen elizabeth day by-day guide funeral the queen coffin lie state westminster hall king charles iii conclude trip around']"
4,1075,4_gold_paris_medal_olympic,"['gold', 'paris', 'medal', 'olympic', 'great britain', 'britain', 'win', 'commonwealth', 'commonwealth game', 'olympics']","['win six gold continue bountiful game great britain six gold medal day five paralympicsgb continue bountiful game paris', 'european championship keely hodgkinson win gold woman 800m watch olympic world commonwealth game silver medallist keely hodgkinson win gold britain woman 800m european championship', 'magnificent maskill win third gold paris great britain poppy maskill win third gold medal paralympics paris victory woman s14 100m backstroke']"
5,920,5_cost_food_cost live_price,"['cost', 'food', 'cost live', 'price', 'live', 'rise', 'rent', 'shop', 'debt', 'supermarket']","['what inflation rate cost live rise the rate price rise remain high drive soar food price', 'what inflation rate cost live rise the rate price rise remain high drive soar food price', 'cost live how save money food shop the cost of-living crisis continue bite here thing reduce impact']"
6,848,6_singer_music_band_swift,"['singer', 'music', 'band', 'swift', 'album', 'taylor swift', 'taylor', 'festival', 'pop', 'glastonbury']","['time taylor swift make history from dizzy record become billionaire bring taylor swift history', 'taylor swift her biggest album return track vault taylor swift prepare release record version look behind song', 'taylor swift the story behind biggest album taylor swift prepare release record version look behind song']"
7,847,7_flood_weather_storm_temperature,"['flood', 'weather', 'storm', 'temperature', 'rain', 'snow', 'heatwave', 'heat', 'warning', 'hurricane']","['clean begin storm bert flood property park avenue dundonald flood storm bert bring heavy rain saturday', 'storm ciarán flood warning place brace heavy rain forecaster recent wet weather leave grind saturate heavy rain expect week', 'weather storm rain bring flash flood southern england meet office warn storm flash flood south east continue next hour']"
8,775,8_gaza_israel_hamas_israeli,"['gaza', 'israel', 'hamas', 'israeli', 'palestinian', 'israel gaza', 'war', 'aid', 'netanyahu', 'kill']","['israel gaza explosion pierce gaza darkness israel step bomb israel attack gaza intensify friday night gaza leave darkness', 'israeli strike gaza city kill dozen hamas two attack israel call hamas infrastructure kill least people palestinian group', 'israel gaza war israeli force push south gaza the head israel military idf fight strongly thoroughly southern gaza']"
9,673,9_open_wimbledon_murray_raducanu,"['open', 'wimbledon', 'murray', 'raducanu', 'andy murray', 'emma raducanu', 'novak', 'andy', 'french open', 'emma']","['andy murray withdraw french open prioritise wimbledon britain andy murray withdraw french open prioritise grass court season instead', 'murray beat possible french open farewell andy murray jack draper lose british campaign french open get inauspicious start', 'wimbledon emma raducanu andy murray set centre court day britain emma raducanu andy murray set centre court wimbledon get way monday']"
10,567,10_film_oscar_actor_award,"['film', 'oscar', 'actor', 'award', 'star', 'actress', 'hollywood', 'red carpet', 'carpet', 'bafta']","['oscar nomination the full list find film actor director vie golden statuette', 'oscar irish goodbye win best short film oscar irish goodbye win academy award best short film actor jam martin 31st brithday', 'baftas red carpet picture star turn style british film award big name film barbie oppenheimer saltburn step british award ceremony']"
11,441,11_covid_inquiry_vaccine_covid inquiry,"['covid', 'inquiry', 'vaccine', 'covid inquiry', 'pandemic', 'virus', 'infect', 'blood', 'jab', 'booster']","['covid inquiry abuse expert must stop whitty sir chris lament treatment give evidence covid inquiry pandemic preparedness', 'covid booster who get another jab autumn covid vaccine rule change risk offer another jab autumn', 'scotland properly prepare pandemic covid inquiry the covid inquiry westminster scottish government fail citizen']"
12,393,12_england_india_t20_test,"['england', 'india', 't20', 'test', 'pakistan', 'cricket', 'stoke', 'new zealand', 'zealand', 'wicket']","['icc cricket world cup highlight england slump eight wicket defeat sri lanka england world cup future hand lose eight wicket sri lanka bangalore cricket world cup', 'cricket world cup highlight england thrash new zealand oepner england defence world cup title begin nine wicket hammer hand new zealand ahmedabad india', 't20 world cup england beat pakistan win t20 world cup watch highlight ben stoke sam curran adil rashid star help england claim second t20 world cup title five wicket victory pakistan final']"
13,390,13_dog_animal_zoo_pet,"['dog', 'animal', 'zoo', 'pet', 'cat', 'owner', 'elephant', 'breed', 'bird', 'bear']","['pet bill lose kitten give cat cost animal care spiral charity go extreme length help family keep pet', 'meet china lose pet detective they help owner find lose animal teach look cat dog', 'give dog find somewhere rent animal lover force give pet order find somewhere live']"
14,355,14_energy_price cap_cap_price,"['energy', 'price cap', 'cap', 'price', 'energy price', 'household', 'electricity', 'cost', 'meter', 'gas']","['energy price cap what bill continue the price cap set typical annual household energy bill fall slightly october', 'what happen energy bill energy price cap mean cost electricity gas fall april', 'what happen energy bill the energy price cap see cost electricity gas fall april']"
15,338,15_rape_police_abuse_sexual,"['rape', 'police', 'abuse', 'sexual', 'officer', 'sex', 'child', 'assault', 'misconduct', 'meet']","['lewis edward snapchat sex abuse image police officer jail lewis edward target girl blackmail send sexual image', 'greater manchester police officer charge child sex attack dean dempster charge sexual assault child misconduct', 'david carrick serial rapist humiliate victim court hear former meet police officer david carrick sentence dozen rape sexual offence']"
16,331,16_china_taiwan_chinese_covid,"['china', 'taiwan', 'chinese', 'covid', 'beijing', 'hong', 'kong', 'hong kong', 'jinping', 'lockdown']","['china hong kong the hongkongers live handover legacy the return hong kong china still polarise topic resident live', 'defiant taiwan identity move away china more people ever taiwanese chinese beijing happy', 'china taiwan china brood taiwan pelosi lovefest the speaker visit celebrate taipei spark major china crisis']"
17,313,17_world cup_cup_world_argentina,"['world cup', 'cup', 'world', 'argentina', 'qatar', 'messi', 'lionel', 'lionel messi', 'morocco', 'final']","['world cup argentina croatia lionel messi special advantage semi final lionel messi presence give argentina special advantage croatia world cup semi final defender nicolas tagliafico', 'lionel messi final last world cup game argentina argentina forward lionel messi sunday final france morocco last world cup game career', 'world cup qatar brink become lionel messi world cup argentina win world cup see qatar become know lionel messi world cup bbc sport phil mcnulty']"
18,310,18_museum_art_artist_artwork,"['museum', 'art', 'artist', 'artwork', 'paint', 'banksy', 'british museum', 'steal', 'sculpture', 'statue']","['paint steal art heist year ago return glasgow museum the piece return glasgow museum put auction unsuspecting seller', 'lose steal the treasure miss scotland museum thousand item include painting gem miss gallery museum', 'british museum how easy steal museum steal item british museum spark debate safety world greatest treasure']"
19,297,19_trump_harris_biden_kamala,"['trump', 'harris', 'biden', 'kamala', 'kamala harris', 'president', 'republican', 'donald trump', 'donald', 'democratic']","['have kamala harris get take beat trump become democratic nominee may easy part the hard part take republican november', 'donald trump small fry issue kamala harris trump claim harris never work mcdonald', 'democrat look kamala harris beat trump joe biden fight stay party nominee unpopular vice president right person take']"
20,281,20_tax_chancellor_budget_reeve,"['tax', 'chancellor', 'budget', 'reeve', 'hunt', 'jeremy hunt', 'rachel reeve', 'rachel', 'jeremy', 'cut']","['when budget mean money chancellor jeremy hunt set government tax spend plan spring budget', 'when budget mean money chancellor jeremy hunt set government tax spend plan spring budget', 'when budget mean money chancellor jeremy hunt set government tax spend plan spring budget']"
21,269,21_trump_donald trump_donald_president,"['trump', 'donald trump', 'donald', 'president', 'trial', 'indictment', 'case', 'court', 'fraud', 'charge']","['could trump prison key question what charge serious donald trump still run president jail', 'donald trump historic court appearance second donald trump unprecedented day new york city plead guilty felony charge', 'donald trump charge what happen next trump lawyer vow try everything possible get case throw trial']"
22,265,22_train_strike_rail_train strike,"['train', 'strike', 'rail', 'train strike', 'train driver', 'union', 'rail strike', 'driver', 'rmt', 'walkout']","['what need know train strike member rmt rail worker union aslef train driver union set strike', 'train strike when next action happen member rmt rail worker union aslef train driver union set strike', 'train strike when next action happen member rmt rail worker union aslef train driver union set strike']"
23,264,23_moon_sky_space_light,"['moon', 'sky', 'space', 'light', 'nasa', 'earth', 'northern light', 'eclipse', 'mission', 'shower']","['picture stun sturgeon moon light sky photographer around globe capture final supermoon', 'sturgeon moon supermoon picture around world the full moon appear bigger brighter usual light night sky tuesday night', 'five planet line moon night sky mercury jupiter venus uranus mar moon align arc across even sky']"
24,260,24_school_concrete_exam_level,"['school', 'concrete', 'exam', 'level', 'result', 'gcse', 'grade', 'raac', 'student', 'pupil']","['list school close shut building move raac concrete the government publish list school affect know', 'list school close shut building move raac concrete the government publish list school affect know', 'level result btec level level the full guide when result day get grade need']"
25,254,25_rugby_nation_world cup_rugby world,"['rugby', 'nation', 'world cup', 'rugby world', 'ireland', 'england', 'league world', 'cup', 'rugby league', 'world']","['rugby league world cup england start wheelchair tournament victory australia england get wheelchair rugby league world cup win start win australia', 'rugby league world cup australia new zealand highlight watch highlight defend champion australia earn hard fight win new zealand reach 15th consecutive rugby league world cup final', 'rugby world cup new zealand drop mark telea ireland game mark telea drop new zealand saturday rugby world cup quarter final ireland break team protocol']"
26,244,26_prix_grand prix_grand_max,"['prix', 'grand prix', 'grand', 'max', 'red bull', 'bull', 'hamilton', 'lewis hamilton', 'formula', 'mercedes']","['canadian grand prix max verstappen take pole ahead nico hulkenberg red bull max verstappen take pole position wet qualify session canadian grand prix produce series shock', 'italian grand prix charles leclerc take pole position ferrari ferrari charles leclerc take pole position italian grand prix ahead red bull max verstappen', 'carlos sainz unite state grand prix pole ahead max verstappen carlos sainz take pole position unite state grand prix beat ferrari team mate charles leclerc red bull max verstappen']"
27,237,27_wildfire_blaze_firefighter_flame,"['wildfire', 'blaze', 'firefighter', 'flame', 'smoke', 'greece', 'evacuate', 'hawaii', 'rhodes', 'burn']","['heatwave be wildfire happen often wildfire burn alaska greece month become common', 'heatwave more evacuation mediterranean wildfire spread wildfire force france evacuate people spain croatia greece hit', 'rhodes wildfire biblical catastrophe tourist evacuate wildfire come great personal cost greek island resident']"
28,237,28_rat_mortgage_bank england_bank,"['rat', 'mortgage', 'bank england', 'bank', 'rise', 'mortgage rat', 'rate', 'rat rise', 'affect', 'lender']","['when mortgage rat come bank england interest rat affect mortgage loan saving rat million people', 'when mortgage rat come bank england interest rat affect mortgage loan saving rat million people', 'when mortgage rat come bank england interest rat affect mortgage loan saving rat million people']"
29,230,29_climate_climate change_cop27_change,"['climate', 'climate change', 'cop27', 'change', 'summit', 'oil', 'fossil', 'carbon', 'fossil fuel', 'cop28']","['climate change airline miss target report campaigner aviation industry rely tackle role climate change', 'why climate doomism go viral fight climate doomers believe far late anything climate change wrong', 'cop27 what global leader do climate change with historic agreement sign cop27 nation keep promise last climate summit']"
30,228,30_mcilroy_rory_rory mcilroy_pga,"['mcilroy', 'rory', 'rory mcilroy', 'pga', 'golf', 'liv', 'master', 'liv golf', 'open', 'wood']","['jon rahm join liv rory mcilroy spaniard must next european ryder cup team europe need rewrite rule ryder cup eligibility follow jon rahm move liv golf rory mcilroy', 'master tiger wood rory mcilroy jon rahm scottie scheffler augusta national tiger wood rory mcilroy headliner world best golfer prepare start 86th master augusta national thursday', 'mcilroy scheffler face dechambeau koepka contest pga tour player rory mcilroy scottie scheffler face liv golf star bryson dechambeau brook koepka televise match later report']"
31,221,31_election_local election_vote_local,"['election', 'local election', 'vote', 'local', 'general election', 'general', 'voter', 'poll', 'result', 'election vote']","['election really simple guide local election england wale scotland general election northern ireland happen may', 'local election when vote local election part england northern ireland take place may', 'local election when vote local election part england northern ireland take place may']"
32,220,32_joshua_heavyweight_fury_anthony joshua,"['joshua', 'heavyweight', 'fury', 'anthony joshua', 'tyson', 'anthony', 'tyson fury', 'fight', 'undisputed', 'title']","['tyson fury oleksandr usyk anthony joshua deontay wilder become double bill april the historic undisputed heavyweight fight tyson fury oleksandr usyk become part superstar double bill feature anthony joshua fight deontay wilder', 'tyson fury offer anthony joshua chance fight title wbc heavyweight champion tyson fury offer anthony joshua chance fight belt end', 'tyson fury need fight anthony joshua retire wbc heavyweight champion tyson fury need fight fellow briton anthony joshua retire']"
33,219,33_musk_twitter_elon_elon musk,"['musk', 'twitter', 'elon', 'elon musk', 'tesla', 'tech', 'artificial intelligence', 'artificial', 'google', 'chatgpt']","['elon musk among expert urge halt train elon musk among call train powerful artificial intelligence suspend', 'elon musk make embarrass drive tesla elon musk hail secret tesla success now problem', 'twitter temporarily restrict tweet user see elon musk announce elon musk verify account read post day unverified one limit']"
34,219,34_snp_sturgeon_yousaf_swinney,"['snp', 'sturgeon', 'yousaf', 'swinney', 'nicola sturgeon', 'humza', 'humza yousaf', 'independence', 'nicola', 'scottish']","['can humza yousaf unite snp humza yousaf face several challenge take snp leader scotland first minister', 'who humza yousaf snp leader widely see prefer candidate snp establishment include nicola sturgeon', 'can humza yousaf unite snp humza yousaf face several challenge take snp leader scotland first minister']"
35,218,35_earthquake_turkey_quake_syria,"['earthquake', 'turkey', 'quake', 'syria', 'turkey earthquake', 'rubble', 'magnitude', 'collapse', 'morocco', 'survivor']","['turkey syria earthquake survivor rubble spark hope miracle day turkey devastate earthquake still moment joy fewer', 'turkey syria earthquake aid appeal raise 50m more people die earthquake turkey syria', 'turkey earthquake where hit deadly two earthquake kill people southern turkey northern syria']"
36,213,36_euro_england_final_germany,"['euro', 'england', 'final', 'germany', 'euro final', 'fan', 'european', 'spain', 'euro england', 'sweden']","['switzerland next bbc england path euro bbc sport take look england possible rout euro knockout stage', 'euro england secure place final victory sweden highlight watch highlight england reach final euro thrash sweden bramall lane', 'what expect euro semi final england sweden germany france here look euro semi final host england play sweden germany face france']"
37,197,37_sunak_rishi_rishi sunak_prime minister,"['sunak', 'rishi', 'rishi sunak', 'prime minister', 'prime', 'minister', 'minister rishi', 'tory', 'conservative', 'reshuffle']","['rishi sunak quick guide prime minister rishi sunak lose race stag comeback here need know', 'rishi sunak quick guide next prime minister rishi sunak lose race stag comeback here need know', 'rishi sunak announce next prime minister rishi sunak next prime minister rival come forward challenge']"
38,186,38_tory_chris mason_mason_chris,"['tory', 'chris mason', 'mason', 'chris', 'conservative', 'election', 'leadership', 'labour', 'political', 'party']","['local election opponent gain shrivel tory popularity the tory suffer competitive political landscape write bbc political editor chris mason', 'chris mason what learn starmer first day bbc political editor chris mason decode early sign labour government', 'chris mason conservative snip begin recrimination even infighting already way among tory write bbc political editor chris mason']"
39,179,39_eurovision_song_contest_liverpool,"['eurovision', 'song', 'contest', 'liverpool', 'host', 'sam ryder', 'muller', 'ryder', 'mae', 'fan']","['eurovision when entry the eurovision song contest final broadcast live liverpool may', 'eurovision when get ticket the eurovision song contest broadcast live liverpool may', 'eurovision when entry the eurovision song contest final broadcast live liverpool may']"
40,177,40_hostage_hamas_gaza_hamas hostage,"['hostage', 'hamas', 'gaza', 'hamas hostage', 'israel', 'israeli', 'release', 'captive', 'know captive', 'grandparent young']","['hamas hostage story hostage take hamas israel from elderly grandparent young child people know take captive', 'hamas hostage story hostage take hamas israel from elderly grandparent young child people know take captive', 'hamas hostage story hostage take hamas israel from elderly grandparent young child people know take captive']"
41,176,41_johnson_boris johnson_boris_partygate,"['johnson', 'boris johnson', 'boris', 'partygate', 'mp', 'prime', 'prime minister', 'minister', 'mislead parliament', 'mislead']","['boris johnson must resign lawbreaking starmer the labour leader accuse boris johnson mislead mp lockdown party', 'force partygate report boris johnson boris johnson step insist lie covid lockdown', 'force partygate report boris johnson boris johnson step insist lie covid lockdown']"
42,171,42_nh_patient_wait_hospital,"['nh', 'patient', 'wait', 'hospital', 'staff', 'care', 'winter', 'health', 'wait time', 'ambulance']","['nh tracker find hospital wait time area winter flu staff shortage covid backlog put nh severe strain find happen area', 'nh tracker find hospital wait time area winter flu staff shortage covid backlog put nh severe strain find happen area', 'nh tracker find hospital wait time area winter flu staff shortage covid backlog put nh severe strain find happen area']"
43,170,43_titanic_sub_titan_sink,"['titanic', 'sub', 'titan', 'sink', 'ship', 'yacht', 'submersible', 'wreck', 'sea', 'coast']","['five dead titan sub true explorer oceangate the coast guard wreckage titan sub consistent catastrophic implosion', 'watch inside titanic sub go miss film oceangate bos stockton rush give glimpse small vessel travel titanic wreck', 'ross kemp plan film show titanic sub five people die oceangate titan sub implode trip titanic wreck week']"
44,167,44_strike_nurse_junior doctor_junior,"['strike', 'nurse', 'junior doctor', 'junior', 'doctor', 'walkout', 'nurse strike', 'nh', 'ambulance', 'pay']","['strike update how nurse strike thursday affect what need know nurse strike industrial action bbc zoe conway', 'strike update how monday march junior doctor strike affect what need know junior doctor strike bbc zoe conway', 'double doctor strike need know consultant junior doctor england begin first joint strike across nh england']"
45,163,45_iran_iranian_protest_iran protest,"['iran', 'iranian', 'protest', 'iran protest', 'nazanin', 'zaghari', 'zaghari ratcliffe', 'nazanin zaghari', 'ratcliffe', 'death']","['iran woman mahsa amini death wear iran protest may subside woman find way defy country regime', 'nazanin zaghari ratcliffe readjust life hard the british iranian national civil unrest iran make readjust difficult', 'nazanin zaghari ratcliffe anoosheh ashoori arrive free iran british iranian national nazanin zaghari ratcliffe anoosheh ashoori touch raf brize norton gmt']"
46,157,46_lebanon_hezbollah_israel_israel hezbollah,"['lebanon', 'hezbollah', 'israel', 'israel hezbollah', 'beirut', 'israeli', 'lebanese', 'strike', 'israeli strike', 'conflict']","['what hezbollah lebanon war israel hassan nasrallah leader hezbollah praise hamas attack israel', 'what know israel hezbollah deal israel day withdraw lebanon hezbollah must move north litani river', 'what know israel hezbollah ceasefire deal israel day withdraw lebanon hezbollah must move north litani river']"
47,154,47_ranger_celtic_scottish_scottish premiership,"['ranger', 'celtic', 'scottish', 'scottish premiership', 'premiership', 'league', 'champion league', 'champion', 'europa league', 'europa']","['celtic ranger ibrox side must win van bronckhorst giovanni van bronckhorst ranger old firm victory try derail celtic pursuit scottish premiership title', 'ranger aberdeen philippe clement side level celtic neil warnock side defeat ranger think title race phillipe clement despite side move level point scottish premiership leader celtic', 'clement want ranger cut celtic lead philippe clement want see ranger side ease within five point scottish premiership leader celtic fifth straight victory hibernian']"
